version,request,ordinal,command_step,pc,action,address,name,value,via
2.06,CR00,1,574,0x1153,write,0x053,RAM_0x053,0x00,direct
2.06,CR00,2,575,0x1154,read,0x003,STATUS,0x1C,direct
2.06,CR00,3,575,0x1154,write,0x003,STATUS,0x3C,direct
2.06,CR01,1,574,0x1156,read,0x053,RAM_0x053,0x00,direct
2.06,CR01,2,575,0x1157,read,0x003,STATUS,0x1C,direct
2.06,CR01,3,575,0x1157,write,0x003,STATUS,0x3C,direct
2.06,CR01,4,576,0x1158,write,0x0CD,RAM_0x0CD,0x00,direct
2.06,CR02,1,574,0x115A,read,0x00A,PCLATH,0x12,direct
2.06,CR02,2,574,0x115A,write,0x00A,PCLATH,0x02,direct
2.06,CR02,3,575,0x115B,read,0x00A,PCLATH,0x02,direct
2.06,CR02,4,575,0x115B,write,0x00A,PCLATH,0x0A,direct
2.06,CR02,5,577,0x0EFF,read,0x00B,INTCON,0xD4,direct
2.06,CR02,6,577,0x0EFF,write,0x00B,INTCON,0x94,direct
2.06,CR02,7,578,0x0F00,read,0x00B,INTCON,0x94,direct
2.06,CR02,8,578,0x0F00,write,0x00B,INTCON,0x14,direct
2.06,CR02,9,579,0x0F01,read,0x00B,INTCON,0x14,direct
2.06,CR02,10,581,0x0F04,read,0x008,PORTD,0x04,direct
2.06,CR02,11,581,0x0F04,write,0x008,PORTD,0x04,direct
2.06,CR02,12,583,0x0F06,read,0x008,PORTD,0x04,direct
2.06,CR02,13,583,0x0F06,write,0x008,PORTD,0x84,direct
2.06,CR02,14,584,0x0F07,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,15,584,0x0F07,write,0x051,RAM_0x051,0x00,direct
2.06,CR02,16,585,0x0F08,read,0x008,PORTD,0x84,direct
2.06,CR02,17,587,0x0F0B,read,0x008,PORTD,0x84,direct
2.06,CR02,18,587,0x0F0B,write,0x008,PORTD,0xA4,direct
2.06,CR02,19,588,0x0F0C,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,20,588,0x0F0C,write,0x051,RAM_0x051,0x00,direct
2.06,CR02,21,589,0x0F0D,read,0x008,PORTD,0xA4,direct
2.06,CR02,22,591,0x0F10,read,0x008,PORTD,0xA4,direct
2.06,CR02,23,591,0x0F10,write,0x008,PORTD,0xC4,direct
2.06,CR02,24,592,0x0F11,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,25,592,0x0F11,write,0x051,RAM_0x051,0x00,direct
2.06,CR02,26,593,0x0F12,read,0x008,PORTD,0xC4,direct
2.06,CR02,27,595,0x0F15,read,0x00B,INTCON,0x14,direct
2.06,CR02,28,595,0x0F15,write,0x00B,INTCON,0xD4,direct
2.06,CR02,29,597,0x115D,read,0x00A,PCLATH,0x0A,direct
2.06,CR02,30,597,0x115D,write,0x00A,PCLATH,0x1A,direct
2.06,CR02,31,598,0x115E,read,0x00A,PCLATH,0x1A,direct
2.06,CR02,32,598,0x115E,write,0x00A,PCLATH,0x12,direct
2.06,CR02,33,599,0x115F,read,0x003,STATUS,0x18,direct
2.06,CR02,34,599,0x115F,write,0x003,STATUS,0x38,direct
2.06,CR02,35,600,0x1160,write,0x0CD,RAM_0x0CD,0x00,direct
2.06,CR02,36,601,0x1161,read,0x003,STATUS,0x3C,direct
2.06,CR02,37,601,0x1161,write,0x003,STATUS,0x1C,direct
2.06,CR02,38,602,0x1162,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,39,604,0x1167,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,40,606,0x116C,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,41,608,0x1171,read,0x051,RAM_0x051,0x00,direct
2.06,CR02,42,610,0x1176,read,0x008,PORTD,0xC4,direct
2.06,CR02,43,612,0x117B,read,0x008,PORTD,0xC4,direct
2.06,CR02,44,614,0x1180,read,0x008,PORTD,0xC4,direct
2.06,CR02,45,616,0x1185,read,0x009,PORTE,0x04,direct
